image,pitch,yaw
0.png,0.062392836,0.011597024
1.png,0.062286988,0.011738781
2.png,0.062423734,0.011857483
3.png,0.062401079,0.012297354
4.png,0.062273219,0.01217654
5.png,0.062171016,0.012158662
6.png,0.062012103,0.011789885
7.png,0.061986832,0.011954601
8.png,0.061981926,0.012066487
9.png,0.061910073,0.01222567
10.png,0.061924371,0.012173386
11.png,0.061773293,0.012539553
12.png,0.061601976,0.012399719
13.png,0.061475109,0.01224847
14.png,0.061364177,0.012357505
15.png,0.061712671,0.012596928
16.png,0.06170522,0.013073653
17.png,0.061633935,0.013447409
18.png,0.061577669,0.013686486
19.png,0.061596339,0.013534162
20.png,0.061514858,0.013535825
21.png,0.061846022,0.013068848
22.png,0.061885865,0.012652668
23.png,0.0620201,0.012342003
24.png,0.0619826,0.012456907
25.png,0.061613509,0.012215038
26.png,0.061773851,0.011846391
27.png,0.061887176,0.011708236
28.png,0.061993739,0.011500723
29.png,0.06204938,0.012036047
30.png,0.062079327,0.012297374
31.png,0.061982249,0.012509706
32.png,0.0618358,0.013193295
33.png,0.061748185,0.013173917
34.png,0.061905315,0.013049958
35.png,0.061992548,0.013291291
36.png,0.061963964,0.013647649
37.png,0.061893011,0.013703427
38.png,0.061944309,0.013724176
39.png,0.061948318,0.013422751
40.png,0.06203694,0.013223786
41.png,0.062036393,0.013372452
42.png,0.062107726,0.013448117
43.png,0.062047773,0.013756996
44.png,0.062085013,0.013852708
45.png,0.062016295,0.013901676
46.png,0.061844172,0.013834097
47.png,0.0618698,0.013745806
48.png,0.061932305,0.013786971
49.png,0.061967147,0.014035903
50.png,0.061991466,0.014301364
51.png,0.062106623,0.01427043
52.png,0.062141722,0.014053255
53.png,0.062181544,0.013975239
54.png,0.062085788,0.014007987
55.png,0.062210843,0.01400474
56.png,0.062370177,0.013852797
57.png,0.062370057,0.013665943
58.png,0.062062327,0.013582822
59.png,0.061850513,0.013153513
60.png,0.061530743,0.012869461
61.png,0.061380515,0.012695721
62.png,0.061328972,0.012658036
63.png,0.061302118,0.012764432
64.png,0.061295002,0.012783878
65.png,0.0612913,0.01272074
66.png,0.061095544,0.012779676
67.png,0.061062695,0.012879914
68.png,0.061037475,0.012814532
69.png,0.061196351,0.01307633
70.png,0.061416199,0.013245269
71.png,0.061407611,0.013658767
72.png,0.061459538,0.013990899
73.png,0.061639769,0.014153726
74.png,0.061781875,0.014328778
75.png,0.06186372,0.014045178
76.png,0.06184428,0.01393136
77.png,0.061867282,0.013821573
78.png,0.062302569,0.014132041
79.png,0.062392511,0.014095585
80.png,0.062520616,0.014306493
81.png,0.062550228,0.014168566
82.png,0.062622414,0.013883106
83.png,0.06254976,0.014008694
84.png,0.062580315,0.013960282
85.png,0.062563703,0.014392897
86.png,0.062752908,0.014792129
87.png,0.062618476,0.014979388
88.png,0.062291377,0.014587442
89.png,0.062043015,0.014171039
90.png,0.061930667,0.01368544
91.png,0.062091155,0.013353563
92.png,0.062139569,0.013231274
93.png,0.062200352,0.012991789
94.png,0.062125524,0.012846694
95.png,0.062098977,0.012850727
96.png,0.061808278,0.012919341
97.png,0.061787616,0.013119296
98.png,0.061674467,0.013231506
99.png,0.061840604,0.013585949
100.png,0.061926371,0.014049999
101.png,0.061668869,0.014387213
102.png,0.061564853,0.014719474
103.png,0.061799136,0.014781904
104.png,0.061835111,0.014856426
105.png,0.061919091,0.015003157
106.png,0.06191787,0.014831886
107.png,0.061939415,0.01469137
108.png,0.061879859,0.014945604
109.png,0.061628058,0.015095083
110.png,0.061432634,0.014906702
