image,pitch,yaw
0.tiff,0.021624494,0.021971265
1.tiff,0.021674945,0.02196025
2.tiff,0.021434829,0.021621054
3.tiff,0.021410319,0.022199094
4.tiff,0.021521815,0.022833329
5.tiff,0.02136435,0.023181756
6.tiff,0.021087288,0.02327276
7.tiff,0.020763089,0.023116207
8.tiff,0.020524673,0.022547968
9.tiff,0.020067127,0.022613884
10.tiff,0.019900039,0.022694798
11.tiff,0.019818645,0.022697178
12.tiff,0.019577447,0.022057796
13.tiff,0.019149132,0.021346872
14.tiff,0.018428077,0.019959162
15.tiff,0.018247233,0.018893847
16.tiff,0.018708903,0.019293513
17.tiff,0.018857938,0.019014451
18.tiff,0.018782464,0.018853824
19.tiff,0.01841614,0.018245365
20.tiff,0.018484597,0.017934982
21.tiff,0.018432987,0.018288333
22.tiff,0.018351289,0.018965012
23.tiff,0.018249499,0.019338157
24.tiff,0.018317422,0.020173279
25.tiff,0.018233174,0.020903245
26.tiff,0.017412263,0.019837261
27.tiff,0.017029329,0.020188203
28.tiff,0.016729607,0.020436267
29.tiff,0.017040248,0.020905905
30.tiff,0.016773725,0.021024889
31.tiff,0.016606804,0.020553549
32.tiff,0.016776157,0.019963406
33.tiff,0.017074166,0.019116156
34.tiff,0.017293763,0.018531211
35.tiff,0.017892483,0.017856872
36.tiff,0.018946985,0.017615109
37.tiff,0.019622593,0.017015369
38.tiff,0.020108303,0.016197951
39.tiff,0.020292038,0.015789448
40.tiff,0.020585107,0.01454582
41.tiff,0.020826743,0.013572293
42.tiff,0.020779987,0.013257606
43.tiff,0.020952125,0.01312029
44.tiff,0.021257315,0.011809765
45.tiff,0.021629344,0.011005705
46.tiff,0.021811863,0.010274555
47.tiff,0.022638278,0.009340807
48.tiff,0.023520202,0.008924319
49.tiff,0.025098319,0.008352052
50.tiff,0.026045672,0.007971794
51.tiff,0.026647587,0.006875264
52.tiff,0.027007918,0.005710368
53.tiff,0.026642001,0.005363765
54.tiff,0.027121518,0.005664308
55.tiff,0.027859732,0.006511185
56.tiff,0.028901276,0.006261621
57.tiff,0.02993362,0.006976863
58.tiff,0.030169647,0.007733694
59.tiff,0.029105271,0.007754555
60.tiff,0.028271902,0.007971602
61.tiff,0.027437827,0.009379483
62.tiff,0.027783016,0.010621129
63.tiff,0.029014997,0.011784556
64.tiff,0.029172607,0.013059931
65.tiff,0.028548055,0.01366812
66.tiff,0.027023304,0.014971444
67.tiff,0.024722901,0.015355491
68.tiff,0.023211575,0.01565904
69.tiff,0.022773965,0.016915822
70.tiff,0.022606453,0.01857094
71.tiff,0.022893783,0.019678785
72.tiff,0.022527088,0.020652951
73.tiff,0.021324672,0.020614314
74.tiff,0.020796135,0.020341927
75.tiff,0.020605587,0.02019379
76.tiff,0.021068213,0.020738235
77.tiff,0.022122015,0.021768958
78.tiff,0.023367431,0.022231477
79.tiff,0.024398446,0.022420912
80.tiff,0.02467685,0.021973097
81.tiff,0.02502633,0.0219437
82.tiff,0.025309256,0.023518995
83.tiff,0.025833234,0.024374499
84.tiff,0.026396978,0.025550109
85.tiff,0.027123831,0.0261619
86.tiff,0.028115916,0.025143155
87.tiff,0.029009996,0.024076506
88.tiff,0.029826205,0.023206577
89.tiff,0.03049778,0.022503701
90.tiff,0.031626392,0.022361156
91.tiff,0.032542997,0.022761827
92.tiff,0.032830847,0.020737997
93.tiff,0.033241113,0.020088799
94.tiff,0.032870576,0.019424273
95.tiff,0.032101216,0.019449941
96.tiff,0.030981963,0.02086339
97.tiff,0.029704927,0.021705405
98.tiff,0.028568497,0.022286959
99.tiff,0.027833929,0.022750447
100.tiff,0.027489328,0.022646349
101.tiff,0.02749969,0.022368118
102.tiff,0.027872742,0.022393872
103.tiff,0.027914379,0.022186897
104.tiff,0.027992679,0.022006811
105.tiff,0.027532769,0.021289821
106.tiff,0.027039215,0.020634416
107.tiff,0.026573265,0.019908631
108.tiff,0.026145974,0.019434576
109.tiff,0.025684556,0.01887501
110.tiff,0.025338366,0.01878703
111.tiff,0.024876196,0.017900254
112.tiff,0.024786272,0.018323562
113.tiff,0.024506276,0.017972051
114.tiff,0.024196645,0.017990192
115.tiff,0.024241627,0.018326088
116.tiff,0.024011455,0.018176427
117.tiff,0.023817057,0.018413481
118.tiff,0.023256438,0.018132896
119.tiff,0.022793079,0.017941359
120.tiff,0.02240959,0.017887781
121.tiff,0.021821882,0.017454228
122.tiff,0.021079021,0.016784977
123.tiff,0.020849351,0.016747714
124.tiff,0.020809358,0.016831998
125.tiff,0.020877975,0.016338831
126.tiff,0.02139893,0.016134273
127.tiff,0.021766069,0.015909436
