image,pitch,yaw
1.png,3.35E-02,3.15E-02
2.png,3.33E-02,3.13E-02
3.png,3.33E-02,3.12E-02
4.png,3.33E-02,3.12E-02
5.png,3.33E-02,3.10E-02
6.png,3.34E-02,3.10E-02
7.png,3.34E-02,3.10E-02
8.png,3.33E-02,3.09E-02
9.png,3.32E-02,3.11E-02
10.png,3.32E-02,3.11E-02
11.png,3.33E-02,3.09E-02
12.png,3.33E-02,3.11E-02
13.png,3.35E-02,3.13E-02
14.png,3.36E-02,3.12E-02
15.png,3.35E-02,3.14E-02
16.png,3.35E-02,3.15E-02
17.png,3.35E-02,3.16E-02
18.png,3.34E-02,3.17E-02
19.png,3.34E-02,3.17E-02
20.png,3.34E-02,3.18E-02
21.png,3.34E-02,3.18E-02
22.png,3.34E-02,3.18E-02
23.png,3.34E-02,3.19E-02
24.png,3.35E-02,3.19E-02
25.png,3.37E-02,3.19E-02
26.png,3.37E-02,3.18E-02
27.png,3.37E-02,3.19E-02
28.png,3.39E-02,3.20E-02
29.png,3.39E-02,3.21E-02
30.png,3.39E-02,3.20E-02
31.png,3.38E-02,3.20E-02
32.png,3.37E-02,3.18E-02
33.png,3.35E-02,3.17E-02
34.png,3.33E-02,3.18E-02
35.png,3.30E-02,3.19E-02
36.png,3.30E-02,3.20E-02
37.png,3.30E-02,3.19E-02
38.png,3.31E-02,3.17E-02
39.png,3.31E-02,3.15E-02
40.png,3.31E-02,3.16E-02
41.png,3.32E-02,3.15E-02
42.png,3.32E-02,3.16E-02
43.png,3.32E-02,3.18E-02
44.png,3.32E-02,3.17E-02
45.png,3.34E-02,3.17E-02
46.png,3.33E-02,3.18E-02
47.png,3.33E-02,3.18E-02
48.png,3.32E-02,3.18E-02
49.png,3.30E-02,3.18E-02
50.png,3.29E-02,3.17E-02
51.png,3.28E-02,3.17E-02
52.png,3.28E-02,3.18E-02
53.png,3.28E-02,3.16E-02
54.png,3.28E-02,3.16E-02
55.png,3.28E-02,3.17E-02
56.png,3.28E-02,3.17E-02
57.png,3.29E-02,3.19E-02
58.png,3.29E-02,3.19E-02
59.png,3.29E-02,3.21E-02
60.png,3.30E-02,3.22E-02
61.png,3.32E-02,3.23E-02
62.png,3.33E-02,3.22E-02
63.png,3.32E-02,3.24E-02
64.png,3.32E-02,3.24E-02
65.png,3.32E-02,3.23E-02
66.png,3.32E-02,3.23E-02
67.png,3.31E-02,3.22E-02
68.png,3.30E-02,3.21E-02
69.png,3.32E-02,3.21E-02
70.png,3.32E-02,3.23E-02
71.png,3.32E-02,3.24E-02
72.png,3.32E-02,3.25E-02
73.png,3.34E-02,3.26E-02
74.png,3.35E-02,3.27E-02
75.png,3.36E-02,3.28E-02
76.png,3.37E-02,3.30E-02
77.png,3.38E-02,3.31E-02
78.png,3.39E-02,3.31E-02
79.png,3.38E-02,3.33E-02
80.png,3.39E-02,3.34E-02
81.png,3.38E-02,3.34E-02
82.png,3.37E-02,3.35E-02
83.png,3.36E-02,3.35E-02
84.png,3.37E-02,3.36E-02
85.png,3.36E-02,3.37E-02
86.png,3.34E-02,3.36E-02
87.png,3.34E-02,3.36E-02
88.png,3.33E-02,3.36E-02
89.png,3.33E-02,3.36E-02
90.png,3.31E-02,3.37E-02
91.png,3.31E-02,3.36E-02
92.png,3.31E-02,3.34E-02
93.png,3.33E-02,3.35E-02
94.png,3.34E-02,3.34E-02
95.png,3.36E-02,3.34E-02
96.png,3.37E-02,3.34E-02
97.png,3.38E-02,3.34E-02
98.png,3.40E-02,3.33E-02
99.png,3.42E-02,3.30E-02
100.png,3.43E-02,3.27E-02
101.png,3.45E-02,3.28E-02
102.png,3.45E-02,3.28E-02
103.png,3.45E-02,3.27E-02
104.png,3.44E-02,3.26E-02
105.png,3.44E-02,3.26E-02
106.png,3.44E-02,3.24E-02
107.png,3.44E-02,3.25E-02
108.png,3.44E-02,3.26E-02
109.png,3.43E-02,3.27E-02
110.png,3.43E-02,3.28E-02
111.png,3.44E-02,3.28E-02
112.png,3.44E-02,3.30E-02
113.png,3.43E-02,3.29E-02
114.png,3.43E-02,3.29E-02
115.png,3.42E-02,3.29E-02
116.png,3.41E-02,3.29E-02
117.png,3.40E-02,3.29E-02
118.png,3.39E-02,3.29E-02
119.png,3.36E-02,3.30E-02
120.png,3.35E-02,3.29E-02
121.png,3.34E-02,3.30E-02
122.png,3.33E-02,3.30E-02
123.png,3.35E-02,3.32E-02
124.png,3.35E-02,3.31E-02
125.png,3.36E-02,3.31E-02
126.png,3.37E-02,3.31E-02
127.png,3.38E-02,3.30E-02
128.png,3.39E-02,3.29E-02
129.png,3.40E-02,3.28E-02
130.png,3.41E-02,3.27E-02
131.png,3.40E-02,3.26E-02
132.png,3.40E-02,3.25E-02
133.png,3.38E-02,3.25E-02
134.png,3.38E-02,3.25E-02
135.png,3.38E-02,3.26E-02
136.png,3.37E-02,3.27E-02
137.png,3.35E-02,3.25E-02
138.png,3.35E-02,3.28E-02
139.png,3.34E-02,3.28E-02
140.png,3.35E-02,3.28E-02
141.png,3.36E-02,3.29E-02
142.png,3.37E-02,3.28E-02
143.png,3.38E-02,3.25E-02
144.png,3.38E-02,3.25E-02
145.png,3.38E-02,3.22E-02
146.png,3.37E-02,3.21E-02
147.png,3.38E-02,3.20E-02
148.png,3.39E-02,3.19E-02
149.png,3.39E-02,3.19E-02
150.png,3.38E-02,3.18E-02
151.png,3.38E-02,3.17E-02
152.png,3.37E-02,3.17E-02
153.png,3.36E-02,3.18E-02
154.png,3.36E-02,3.18E-02
155.png,3.36E-02,3.19E-02
